Transparent|透明
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Tapestry|タペストリー
Bed|ベッド
Cobweb|クモの巣
Pickax|つるはし
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Tapestry|タペストリー
Bed|ベッド
Cobweb|クモの巣
Wood Stairs|木製階段
Candy|キャンディ
Wood Stairs|木製階段
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Tapestry|タペストリー
Tapestry (Ruins)|タペストリー(廃墟)
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Railings (Wood)|段差用手すり（木製）
Tapestry|タペストリー
Tapestry (Ruins)|タペストリー(廃墟)
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Stairs|木製階段
Wood Pillar (Sack)|木の柱(袋)
Wood Pillar (Clothing)|木の柱(布)
Wood Pillar (Goods)|木の柱(雑貨)
Tapestry|タペストリー
Tapestry (Ruins)|タペストリー(廃墟)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wall (Wood)|壁(木製)
Wood Pillar (Sack)|木の柱(袋)
Wood Pillar (Clothing)|木の柱(布)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Entrance|入口
Light|明かり
Cross|十字架
Window|窓
Window|窓
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Entrance|入口
Light|明かり
Cross|十字架
Window|窓
Window|窓
Portrait|肖像画
Portrait|肖像画
Table (Flower)|テーブル(花瓶)
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Stained Glass Window|ステンドグラス
Portrait (Ruins)|肖像画(廃墟)
Portrait (Ruins)|肖像画(廃墟)
Table (Flower)|テーブル(花瓶)
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Stained Glass Window|ステンドグラス
Tapestry|タペストリー
Tapestry|タペストリー
Table|テーブル
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Stained Glass Window (Ruins)|ステンドグラス(廃墟)
Stone Object (Plant)|石のオブジェ(植物)
Tapestry (Ruins)|タペストリー(廃墟)
Tapestry (Ruins)|タペストリー(廃墟)
Table|テーブル
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Stained Glass Window (Ruins)|ステンドグラス(廃墟)
Stone Object (Plant)|石のオブジェ(植物)
Tapestry|タペストリー
Tapestry|タペストリー
Cooking Stove|コンロ
Window|窓
Window|窓
Window|窓
Window|窓
Potted Plant|植木鉢
Tapestry (Ruins)|タペストリー(廃墟)
Tapestry (Ruins)|タペストリー(廃墟)
Cooking Stove|コンロ
Window|窓
Window|窓
Window|窓
Window|窓
Potted Plant|植木鉢
Stone Object (Flower)|石のオブジェ(花)
Flowers|花
Picture|絵画
Window|窓
Window|窓
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Potted Plant (Withered )|植木鉢(枯れ)
Stone Object (Flower)|石のオブジェ(花)
Picture (Ruins)|絵画(廃墟)
Picture (Ruins)|絵画(廃墟)
Window|窓
Window|窓
Window (Ruins)|窓(廃墟)
Window (Ruins)|窓(廃墟)
Potted Plant (Withered )|植木鉢(枯れ)
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Wall (Wood, Shelf)|壁(木製・棚)
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Wall (Wood)|壁(木製)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar|木の柱
Wood Pillar|木の柱
Shelf|棚
Shelf|棚
Shelf (Ruins)|棚（廃墟）
Shelf (Ruins)|棚（廃墟）
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar|木の柱
Wood Pillar|木の柱
Shelf|棚
Shelf|棚
Shelf (Ruins)|棚（廃墟）
Shelf (Ruins)|棚（廃墟）
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar (Goods)|木の柱(雑貨)
Wood Pillar|木の柱
Wood Pillar|木の柱
Box|箱
Box|箱
Candy|キャンディ
Candy|キャンディ
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed|ベッド
Bed|ベッド
Bed (Ruins)|ベッド（廃墟）
Bed (Ruins)|ベッド（廃墟）
Angel Statue|天使像
Angel Statue|天使像
Bed|ベッド
